CA Comments: ,EMPortal number:,provider,address,website,contact-person,phone,email,Given Name,Family Name,country,Business Country Ref Code,Agent Type Ref Code,Agent User Id,PRISMS User Id,,,,,,,,,,,,,,,
,11043,AUG - Adelaide,"Suite 5, Level 1, Market Plaza, 61-63 Grote Street, Adelaide 5000, SA, Australia",www.augstudy.com,Kate Wang,08 8231 1228,adelaide@augstudy.com,AUG ,AUG,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,7946,AUG - Brisbane,"Level 1, 25 Adelaide Street, Brisbane 4000",www.augstudy.com,Jaz Wong,07 3210 1383,brisbane@augstudy.com,AUG ,AUG,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,1740,AUG - Melbourne,"Level 1, 258 Little Bourke Street, Melbourne VIC 3000",www.augstudy.com/australia,Alice Hwa,03 9663 5333,melbourne@augstudy.com,AUG ,AUG,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23583,AUG - Perth,"16/375 William Street, Northbridge, WA 6003",augstudy.com/studyexpo/perth.php,William THE,08 6162 6623,perth@augstudy.com,AUG ,AUG,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,1750,AUG - Sydney,"QG 16, Prince Centre, 8 Quay Street, Haymarket 2000, New South Wales, Australia",www.augstudy.com,Heng Sin YEE ,02 9211 0966,sydney@augstudy.com,AUG ,AUG,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,22994,AUSTLINK EDUCATION GROUP PTY LTD - Sydney,Suite 1316 World Tower  87-89 Liverpool Street Sydney NSW 2000 Australia ,www.austlinkvisa.com,Yanhong MO,02 9283 1068,admissions@austlinkvisa.com,Austlink ,Austlink,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23557,AUSTOP - Sydney,"Level 4, 280 Pitt Street, Sydney, NSW, 2000, Australia",www.austop.com.au,Vicki YOU,02 8079 7000,Admissions@austop.com.au,Austop ,Austop,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,40309,AUSTRALIAN EDUCATION SERVICES - Melbourne,"Level 4, 258 Little Bourke Street, Melbourne VIC 3000",www.aesconsultant.com,Amy Yao,03 9654 3409,education@aesconsultant.com,Australian Education Services ,Australian Education Services,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,1821,AUSTRALIAN INTERNATIONAL EDUCATION SERVICES - Adelaide,"Level 5, 29 King William Street, Adelaide  SA  5000",www.aieservices.com.au,Rita Ting Fan,08 8212 8066,jessi.jin@aieservices.com.au,AIES ,AIES,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,1872,BADA EDUCATION - Adelaide,"Suite 519, Level 5, 38 Gawler Place, Adelaide SA 5000",www.badaglobal.com ,Ellie Lee,08 8359 2939,adelaide@badaedu.com,Bada ,Bada,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23023,BADA EDUCATION - Brisbane,"Level 2, 138 Albert Street, Brisbane 4000",www.badaglobal.com,Ellie Lee,07 3210 0028,brisbane@badaedu.com,Bada ,Bada,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,1870,BADA EDUCATION - Melbourne,"Level 5, 55 Swanston Street, Melbourne VIC 3000",www.badaglobal.com.au,Claire Lee,03 9654 6528,melbourne@badaedu.com,Bada ,Bada,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,1871,BADA EDUCATION - Sydney,"Suite 202, Level 2 630-634 George Street,Sydney",www.badaedu.com,Sandy Kwon,02 9267 2200,sydney@badaedu.com,Bada ,Bada,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23132,BEST WAY CONSULTANCY PTY LTD - Sydney,"Suite 303/431-439 Sussex Street,Sydney,NSW 2000",www.bestwayvisa.com,Wei WEI,02 9280 0771,admissions@bestwayvisa.com,Best Way ,Best Way,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,33422,BLUE EDUCATION - Perth,"Level 2, 33 Barrack Street, Perth WA 6000",blueco.com.au/,Glen ONG,08 6381 0030,info@blueeducation.com.au,Blue Education ,Blue Education,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,38536,BOOMERANG INTERNATIONAL EDUCATIONAL SERVICE - Adelaide,"Level 5, 22 Grenfell Street, Adelaide SA 5000",www.studysouthaustralia.com.au,Aashish Wagley,08 7073 0548,adelaide@boomerangedu.com,Boomerang ,Boomerang,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,9001,CP EDUCATION AND MIGRATION - Sydney,"Suite 1, Level 6, Labour Council Building 377-383 Sussex Street Sydney",www.cpinter.com.au,Pip Panasbodi,02 9267 8522,education@cpinter.co.th,CP Education ,CP Education,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,3056,DK SCIENCE AND LEARNING - Sydney,"Suite 605, Level 6, 405-411 Sussex Street Sydney",www.dksydney.com.au,Yossy Dharmawan,02 9264 4566,info@dksydney.com.au,DK Science ,DK Science,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,33393,EDU PATHWAYS GROUP - Melbourne,"Level 2, 253 Lonsdale Street, Melbourne VIC 3000",www.edupathways.com.au,Wendy Zhang,03 9663 8813,info@edupathways.com.au,Edu Pathways ,Edu Pathways,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,27561,EDUCATION AND LEARNING SERVICE CENTRE - Adelaide,"Suite 5, Level 6, 68 Grenfell Street, Adelaide SA 5000",www.elsc.com.au,Selina Li,08 7230 2631,iquiry.elsc@gmail.com,ELSC ,ELSC,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,9466,EDUYOUNG.COM - Brisbane,"Level 1, 233 Albert Street, Brisbane 4000",www.eduyoung.com,Jimmy Jang,07 3012 7200,info@eduyoung.com,Eduyoung ,Eduyoung,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,21717,EIC GROUP - Melbourne,"Level 13, 55 Swanston Street, Melbourne VIC 3000",www.eic.org.cn,Cossy Wang,03 9654 8890,info@eiceducation.com,EIC Group ,EIC Group,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,9378,EIC GROUP - Sydney,"Suite 506-508,Level 5, Manning Building, 451 Pitt Street, Sydney NSW 2000",www.eiceducation.com,Jing LIU,02 9281 5000,sydney@eiceducation.com.cn,EIC Group ,EIC Group,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,22875,EUREKASTUDY - Melbourne,"670 Swanston Street, Melbourne VIC 3000",www.eurekastudy.com.au,Johan Chan,+61 429 381 370,info@eurekastudy.com.au,Eurekastudy ,Eurekastudy,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,28717,EXPERT EDUCATION AND VISA SERVICES - Sydney,"Level 6, 263 Clarence street Sydney ",www.experteducation.com.au,Sanjeev Sharma,02 9269 0070,vietnam@experteducation.com.au,Expert Edu ,Expert Edu,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,3658,FORTRUST INTERNATIONAL - Sydney,"Unit 9, Level 2 377 Sussex Street Sydney",www.fortrust.com,Yu Bai,02 9269 0933,info@fortrust.com,Fortrust International ,Fortrust International,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,32190,FUSION OZ PTY LTD - Sydney,"Suite 601, 447 Kent St Sydney",www.fusionoz.com,David Zhang,61 2 8005 7919,admin@fusionoz.com,FUSION OZ ,FUSION OZ,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,26137,GLIC CONSULTING GROUP PTY LTD - Melbourne,"Level 9, 24 Collins Street, Melbourne VIC 3000",www.glicgroup.com,James Guan,03 9077 0110,glic@glicgroup.com,GLIC ,GLIC,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,3952,GRACE EDUCATION CONSULTANCY - Queensland,"Level 1, Times Square, 250 Mccullough Street, Sunnybank 4109",www.graceeducation.com.au,Grace Yu,07 3423 7577,marketing@graceeducation.com.au,Grace Education ,Grace Education,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,31167,HELLO AUSSIE STUDENT SERVICES - Melbourne,"Level 10, 50 market Street, Melbourne VIC 3000",www.hello-aussie.com.au,Stefan Stinean,1300 935 375,info@hello-aussie.com.au,Hello Aussie ,Hello Aussie,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4165,HOJUHELPER EDUCATION CENTRE - Sydney,"suite 806,250 Pitt Street, Sydney",www.hojuhelper.com,Jay Jeong,02 8040 2421,hojuhelper@hotmail.net,Hojuhelper ,Hojuhelper,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,9108,HONEW CONSULTING GROUP - Sydney,"Suite 60A, Bathurst Street, Sydney",www.honew.com.au,Sungkyu Choi,02 9267 0511,info@honew.com.au,Honew ,Honew,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4311,SOL EDU- Brisbane,"Level 2, 69 Adelaide Street, Brisbane QLD 4000",www.soledu.net/kr,Anna Lee,07 3003 1899,admin@soledu.net,IAE EDU ,IAE EDU,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4309,IAE EDU NET - Melbourne,"Level 5, 250 Collins Street, Melbourne VIC 3000",www.studyinaus.com,Charice Gui,03 8626 9300,iae-melbourne@iaeoz.net,IAE EDU ,IAE EDU,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4315,IAE EDU NET - Sydney,"Suites 1 & 2, Level 3, 405-411 Sussex St",www.iaeoz.net/ozweb,Mina Kwon,02 9267 5252,iae-sydney@iaeoz.net,IAE EDU ,IAE EDU,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,18520,IAEC EDUCATION - Melbourne,"Level 9, 267 Collins Street, Melbourne VIC 3000",www.iaec.com.au,Seema Shah,03 9670 1140,melbourne@iaec.com.au,IAEC ,IAEC,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,22796,IBN EDUCATION CENTRE - Brisbane,"Level 5, 138 Albert Street, Brisbane 4000",www.ibnedu.com,Jack Kim,07 3211 0079,brisbane@ibnedu.com,IBN Education ,IBN Education,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,7248,IBN EDUCATION CENTRE - Sydney,"Suite 902, 309 Pitt Street, Sydney",www.ibnedu.com,Scott Lee,02 9261 3086,admin@ibnedu.com,IBN Education ,IBN Education,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,9467,IDP EDUCATION - Adelaide,"16 Grenfell Street, Adelaide SA 5000",www.idp.com,Shane Zimmer,08 8205 1100,info.adelaide@idp.com,IDP ,IDP,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,9752,IDP EDUCATION - Brisbane,"293 Adelaide Street, Brisbane 4000",www.idp.com/australia,Ken Dimitriou,07 3020 6101,info.brisbane@idp.com,IDP ,IDP,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,8454,IDP EDUCATION - Melbourne,"373 Lonsdale Street, Melbourne VIC 3000",www.idp.com/australia,Lalith Soni,03 9606 1800,info.mellbourne@idp.com,IDP ,IDP,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,9124,IDP EDUCATION - Perth,"188 Newcastle Street. Northbridge, WA 6003",www.idp.com/australia,Valencia ONG,08 9227 0102,info.perth@idp.com,IDP ,IDP,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4418,IDP EDUCATION - Sydney,"Ground Flooor, 191-199 Thomas Street Haymarket",www.idp.com,,02 8260 3300,info.sydney@idp.com,IDP ,IDP,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23563,IEN GLOBE AUSTRALIA PTY LTD - Sydney,"Suite 1614, 87-89 Liverpool Street, World Tower, Sydney NSW 2000 Australia",,Katey TIAN,02 92678688,info@ienedu.com.au,IEN Globe Australia ,IEN Globe Australia,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,10747,INTERNATIONAL STUDENT EXCHANGE SERVICE (ISES) - Adelaide,"Level 4, 66 King William Street, Adelaide SA 5000",www.ises.net.au,Gabi Zhao,08 8211 6589,adelaide@ises.net.au,ISES ,ISES,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,30858,INTERNATIONAL STUDENT EXCHANGE SERVICE (ISES) - Melbourne,"Level 5, 488 Bourke Street, Melbourne VIC 3000",www.ises.com.au,Jenny Tan,03 9642 0253,melbourne@ises.net.au,ISES ,ISES,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4559,INTERNATIONAL STUDENT SUPPORT NETWORK (ISSN) - Melbourne,"Level 9, 180 Russell Street, Melbourne VIC 3000",www.issn.com,Honglin Wang,03 9639 6366,issn@ihug.com.au,ISSN ,ISSN,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4557,ISN - INTERNATIONAL STUDENT NETWORK - Sydney,"Suite 301, 368 Sussex Street Sydney",www.isn-edu.com,HERNI TAGIRAN,02 9262 9903,info@isn-edu.com,ISN ,ISN,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4736,K&O MIGRATION AND EDUCATION SERVICES - Sydney,418/368 Sussex Street  Sydney,www.kointer.com,Orawan Snow,02 9262 9244,info@kointer.com,K and O ,K and O,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4852,KOKOS INTERNATIONAL - Adelaide,"Suite 302, 20 King William Street, Adelaide SA 5000",www.ikokos.com,Kelly Park,08 8410 3562,adelaide@ikokos.com,Kokos ,Kokos,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4853,KOKOS INTERNATIONAL - Brisbane,"Level 1, 243 Edward Street, Brisbane 4000",www.ikokos.com,Bill Hwang,07 3221 1688,brisbane@ikokos.com,Kokos ,Kokos,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4855,KOKOS INTERNATIONAL - Melbourne,"Level 2, 365 Lonsdale Street, Melbourne VIC 3000",www.kokosinternational.com,Chul Lee,03 9602 4499,melbourne@ikokos.com,Kokos ,Kokos,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,4858,KOKOS INTERNATIONAL - Sydney,"Suite 44, Level 7 (SunTower),591 George Street,Sydney",www.ikokos.com,Minseok Jang,02 9283 1523,sydney@ikokos.com,Kokos ,Kokos,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,39084,KYMM - Sydney,Level 17 / 9 Castlereagh Street Sydney,www.kymm.com.au,Kim Ha Phon,0405 711 611,info@kymm.com.au,Kymm ,Kymm,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,21575,LATINO AUSTRALIA EDUCATION - Melbourne,"8 Market Street, Melbourne VIC 3000",www.latinoaustralia.com,Ana Maria Montoya,03 9620 1896,melbourne@latinoaustralia.com,Latino Australia ,Latino Australia,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,18675,LATINO AUSTRALIA EDUCATION - Sydney,"Suite 101, 191 Clarence Street Sydney",www.latinoaustralia.com,Camilo Gonzalez,02 9290 2446,sydney@latinoaustralia.com,Latino Australia ,Latino Australia,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,35831,LINKSOLUTION GROUP PTY LTD - Sydney,"Suite 9, Level 4, 377 Sussex  Street,Sydney",www.linksolution.com.au,Alec Oh,02 8970 9136,alec@linksolution.com.au,Linksolution ,Linksolution,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23475,LINKTOP GROUP - Melbourne,"Level 3, 343 Little Collins Street, Melbourne VIC 3000",www.linktop.org,Katie Zhang,03 9008 8210,info@Linktop.net,Linktop ,Linktop,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,18834,LINKTOP GROUP - Sydney,"Suite 153, Level 4, 416-418 Pitt Street, Sydney, NSW 2000, Australia",www.linktop.org,Angela XU,02 92816088,info@Linktop.net,Linktop ,Linktop,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,11276,MYEDU CONSULTING - SYDNEY,"Suite 2B, Level 6,  303 Pitt Street,Sydney",N/A,Susan Park,61 2 9266 0114,myeduconsultingptyltd@gmail.com,MYEDU ,MYEDU,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,5625,NOBLE HUMAN - SYDNEY,"Suite 1309,97-99 Bathurst Street,Sydney",www.noblehuman.net,Sunny Kim,0292670471,info@noblehuman.net,NOBLE HUMAN ,NOBLE HUMAN,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23398,OZ PATHWAY EDUCATION - MELBOURNE,"Level 2, 407 Swanston Street, Melbourne VIC 3000",www.ozpathway.com,Cathy Yu,03 9639 9926,info@ozpathway.com,OZ PATHWAY ,OZ PATHWAY,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,24912,OZSKY INTERNATIONAL - Adelaide,"Level 10, 108 King William Street, Adelaide SA 5000",www.ozs.com.au,Jue Wang,08 8333 5088,jue.wang@ozs.com.au,Ozsky ,Ozsky,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,38618,PLUS ONE ADVISORY - Sydney,SUITE 7 LEVEL 4/377 SUSSEX STREET Sydney,WWW.PLUS1ADVISORY.COM,Louis SU,02 8056 6864,CONTRACT@PLUS1ADVISORY.COM,PLUS ONE ADVISORY ,PLUS ONE ADVISORY,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,5981,PRIME U HAK PTY LTD - Sydney,"1505/87-89 Liverpool Street,Sydney",www.primesydney.com,Michelle Kim,02 9264 5050,michelle@primeuhak.com,Prime U Hak ,Prime U Hak,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,33459,PROFESSIONAL EDUCATION CONSULTANCY AUSTRALIA - Melbourne,"Level 16, 379 Collins Street, Melbourne VIC 3000",www.pecaustralia.com.au,Amit Shreewastav,03 9621 2836,melbourne@pecaustralia.com.au,Professional Education Consultancy ,Professional Education Consultancy,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,26134,S AND W CONSULTING GROUP - Melbourne,"Level 12, 356 Collins Street, Melbourne VIC 3000",www.swcg.com.au,Colin Wang,03 9629 6068,w.wei@swcg.com.au,S and W ,S and W,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,23354,S AND W CONSULTING GROUP - Sydney,"Suite 702, Level 7, 117 York St. Sydney  NSW 2000",www.swcg.com.au,Jacky HUANG,02 8090 1828,w.wei@swcg.com.au,S and W ,S and W,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,26081,SHINYWAY EDUCATION - Sydney,"Suite 105, 451 Pitt Street, sydney NSW 2000",www.igo.cn/shinyway/sydney/,Kena Qu,02 92811636,AU@shinyway.com.cn,Shinyway ,Shinyway,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,35809,BMJ International Group,"Suite 8B, Level 2, 221 Queen Street, Melbourne VIC  3000",,Anita Huang,03 9670 2930, enquiry@ausbmj.com.au,BMJ International,BMJ International,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,41006,SET - SYDNEY,"Suite 3, 2nd Floor, 300 Chapel Road South Bankstown",www.set-edu.com,Tran Thi Diem Hang,02 9299 1133,admin.sydney@set-edu.com,SET,SET - SYDNEY,Australia,,,,,,,,,,,,,,,,,,,
,33430,STUDY CENTRAL - Sydney,108/250 Pitt street Sydney NSW 2000,www.studycentral.com.au ,Alise LO ,02 8065 6085,info@studycentral.com.au,Study Central ,Study Central,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,3063,STUDY SA - Adelaide,"Level 3, 50 King William Street, Adelaide SA 5000",www.studysa.com.au,Tony HS Choi,08 8221 5013,adelaide@studysa.com.au,Study SA ,Study SA,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,18683,UHAK STATION - Sydney,"Suite 402,303 Pitt Street,Sydney",www.uhakstation.com,Jason Hwang,02 8068 6869,sydney@uhakstation.com,Uhak ,Uhak,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,22810,UHAK STATION - Melbourne,"Level 2, 358 Lonsdale Street, Melbourne VIC 3000",www.uhakstation.com,Tony Lee,03 9600 3566,melbourne@uhakstation.com,Uhak ,,Australia,,,,,,,,,,,,,,,,,,,
,18171,UNILINK EDUCATION - Sydney,"Suite 16, Level 1 World Square, 650 George St Sydney, NSW, Australia, 2000 ",www.ulec.com.au ,Xiaoping QIN,02 8999 8749,info@ulec.com.au,Unilink ,Unilink,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,40491,WEST 1 - Melbourne,"Level 11, 227 Collins Street, Melbourne VIC 3000",www.west1.com.au,Walter Scott,03 9654 3920,walter@west1.com.au,West 1 ,West 1,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,20110,WEST 1 - Sydney,"Level 7, Suite 706, 31 Market Street Sydney",www.west1-australia.com.au,Mariana Santoro,02 9261 5020,sydney@west1.com.au,West 1 ,West 1,Australia,AUS,PROVIDER-AGENT,-1,,,,,,,,,,,,,,,,
,38675,YES RTO,"Darling Park, Tower 2, Level 21, 201 Sussex Street, Sydney",www.yesrto.com.au,Wayne LIM,02 9006 1798,admin@yesrto.com.au,YES RTO,YES RTO,Australia,,,,New Agents that Managers want added,,,,,,,,,,,,,,,
,18155,SUPERSTAR EDUCATION - Sydney,"Suite 104, Level 10, 420 Pitt Street, Sydney",www.super-star.com.au,Nino Chaweewanichkul,02 9281 6333 ,admissions@super-star.com.au,SUPERSTAR EDUCATION,SUPERSTAR EDUCATION - Sydney,Australia,,,,,,,,,,,,,,,,,,,
,6611,STELLAR EDUCATION & VISA CENTRE,Suite 108 Manning Bldg. 451 Pitt Street Sydney,www.stellaraustralia.com,Joy T Roche,02 9212 7489,info@stellaraustralia.com,STELLAR EDUCATION & VISA CENTRE,STELLAR EDUCATION & VISA CENTRE,Australia,,,,,,,,,,,,,,,,,,,
,23363,STB STUDENT TRAVEL BUREAU,"Level 6, 225 Clarence Street Sydney",www.stbaustralia.com.au,Bruna Souza,02 9299 4428,info@stbaustralia.com.au,STB STUDENT TRAVEL BUREAU,STB STUDENT TRAVEL BUREAU,Australia,,,,,,,,,,,,,,,,,,,
,18675,LATINO AUSTRALIA EDUCATION - SYDNEY,"Suite 101, 191 Clarence Street Sydney",www.latinoaustralia.com,Paulina GARCIA,02 9290 2446 ,sydney@latinoaustralia.com,LATINO AUSTRALIA EDUCATION,LATINO AUSTRALIA EDUCATION - SYDNEY,Australia,,,,,,,,,,,,,,,,,,,
